year,category,position,name,lastname,firstname,gender,age,bib,state_province_country,city,state_province,country,start,gateway_enter,gateway_exit,melgeorges_enter,melgeorges_exit,myrtle_lake_enter,myrtle_lake_exit,crescent_enter,crescent_exit,ski_pulk_enter,ski_pulk_exit,finish_time,overall_duration,comments,unsupported
2022,Run,999,"Lessard, Michael",Lessard,Michael,,,93,MN USA,,,,1/31 07:04,1/31 19:50,1/31 21:00,,,,,,,,,,,at Sheep Ranch Rd,
2023,Foot,999,"Lessard, Michael",Lessard,Michael,,,84,USA/MN,,,,1/30/2023 7:04,1/30/2023 19:28,1/30/2023 20:38,,,,,,,,,,,Drop at Sheep Ranch Rd,
2013,Run,7,MIKE LESSARD,Lessard,Mike,,,131,MN USA,,,,1/28 07:04,1/28 15:29,1/28 16:12,1/29 06:33,1/29 11:11,,,,,1/30 09:37,1/30 09:50,1/30 18:48,59:44:00,,
2011,Ski,999,MIKE LESSARD,Lessard,Mike,,,146,,,,,1/31 07:01,1/31 19:51,1/31 20:51,,,,,,,,,,,Dropped.  Phoned MelGeorge that he was picked up.,
2012,Run,999,MIKE LESSARD,Lessard,Mike,,,111,MN USA,,,,1/30 07:04,1/30 17:43,1/30 19:29,1/31 12:46,1/31 13:53,,,,,,,,,DNF at Cty 23,
2014,Run,999,MIKE LESSARD,Lessard,Mike,,,114,MN USA,,,,1/27 07:04,1/27 20:03,,,,,,,,,,,,Dropped at Gateway,
2019,Run,6,"Leuwerke, Jeff",Leuwerke,Jeff,,,72,MN USA,,,,1/28 07:04,1/28 17:40,1/28 17:40,1/29 06:26,1/29 06:26,,,,,1/29 22:15,1/29 23:29,1/30 07:38,48:34:00,1st unsupported men's runner,TRUE
2018,Run,15,"Leuwerke, Jeff",Leuwerke,Jeff,,,72,MN USA,,,,1/29 07:06,1/29 16:09,1/29 16:24,1/30 05:14,1/30 08:54,,,,,1/31 01:45,1/31 02:38,1/31 10:06,51:00:00,,
2015,Run,2,"Lewis, Harvey",Lewis,Harvey,,,73,OH USA,,,,1/26 07:04,1/26 14:51,1/26 15:01,1/27 00:11,1/27 00:11,,,,,1/27 13:40,1/27 13:55,1/27 21:49,38:45:00,,
2010,Bike,,,Lillie,Leon,M,48,85,,,,,2/1/2010 7:03,2/1/2010 14:28,,,,,,,,,,,,Gateway,
2010,Bike,,,Lindner,Chuck,M,38,8,,,,,2/1/2010 7:03,2/1/2010 12:20,2/1/2010 13:03,2/1/2010 18:04,2/1/2010 23:00,,,,2/2/2010 7:43,2/2/2010 7:54,2/2/2010 10:35,,27:32:00,,
2008,Bike,,,Lindner,Chuck,M,35,40,,,,,2/4/2008 7:17,2/4/2008 13:01,2/4/2008 13:34,2/4/2008 20:30,2/5/2008 3:05,,,,,,,2/5/2008 13:07,29:50:00,,
2009,Bike,,,Lindner,Chuck,M,36,7,,,,,2/2/2009 7:28,2/2/2009 12:16,2/2/2009 13:00,2/2/2009 18:56,2/3/2009 3:35,,,,,,,2/3/2009 14:16,30:48:00,"8B, 8th overall",
2020,Bike,8,"Lindner, Chuck",Lindner,Chuck,,,92,MN USA,,,,1/27 07:00,1/27 10:30,1/27 10:30,1/27 14:52,1/27 15:28,,,,,1/27 21:23,1/27 21:45,1/28 01:07,18:07:00,,
2022,Bike,7,"Lindner, Chuck",Lindner,Chuck,,,95,MN USA,,,,1/31 07:00,1/31 10:29,1/31 10:36,1/31 15:21,1/31 16:03,,,,,1/31 21:52,1/31 22:18,2/1 01:37,18:37:00,,
2019,Bike,7,"Lindner, Chuck",Lindner,Chuck,,,73,MN USA,,,,1/28 07:00,1/28 10:45,1/28 11:15,1/28 15:23,1/28 16:48,,,,,1/28 22:04,1/28 23:00,1/29 02:08,19:08:00,,
2018,Bike,13,"Lindner, Chuck",Lindner,Chuck,,,73,MN USA,,,,1/29 07:02,1/29 10:33,1/29 10:33,1/29 14:50,1/29 15:45,,,,,1/29 21:09,1/29 21:55,1/30 02:37,19:35:00,,
2015,Bike,29,"Lindner, Chuck",Lindner,Chuck,,,74,MN USA,,,,1/26 07:00,1/26 10:43,1/26 11:01,1/26 15:35,1/26 16:45,,,,,1/27 00:13,1/27 02:03,1/27 05:43,22:43:00,,
2012,Bike,18,CHUCK LINDNER,Lindner,Chuck,,,14,MN USA,,,,1/30 07:00,1/30 11:02,1/30 11:41,1/30 17:25,1/30 19:50,,,,,1/31 03:09,1/31 03:40,1/31 06:49,23:49:00,,
2016,Bike,20,"Lindner, Chuck",Lindner,Chuck,,,75,MN USA,,,,1/25 07:00,1/25 11:24,1/25 11:42,1/25 18:42,1/25 20:55,,,,,1/26 05:58,1/26 07:01,1/26 10:55,27:55:00,,
2017,Bike,28,"Lindner, Chuck",Lindner,Chuck,,,76,MN USA,,,,1/30 07:00,1/30 10:22,1/30 10:22,1/30 16:07,1/30 16:07,,,,,1/30 22:44,1/30 23:04,1/31 03:53,20:53:00,,TRUE
2011,Bike,25,CHUCK LINDNER,Lindner,Chuck,,,15,,,,,1/31 07:00,1/31 12:16,1/31 13:21,1/31 19:58,,,,,,2/1 13:13,2/1 13:53,2/1 16:32,33:32:00,,
2013,Bike,36,CHUCK LINDNER,Lindner,Chuck,,,22,MN USA,,,,1/28 07:00,1/28 11:27,1/28 11:55,1/28 17:17,1/28 18:54,,,,,1/29 13:58,1/29 14:48,1/29 18:32,35:32:00,,
2014,Bike,999,CHUCK LINDNER,Lindner,Chuck,,,32,MN USA,,,,1/27 07:00,1/27 12:26,,,,,,,,,,,,Dropped at Gateway,
2023,Bike,11,"Lindner, Chuck",Lindner,Chuck,,,85,USA/MN,,,,1/30/2023 7:00,1/30/2023 11:24,1/30/2023 11:50,1/30/2023 16:09,1/30/2023 17:25,,,,,1/30/2023 23:50,1/31/2023 0:55,1/31/2023 4:14,,,
2010,Foot,,,Link,Steve,M,21,86,,,,,2/1/2010 7:03,2/1/2010 16:43,2/1/2010 18:03,2/2/2010 6:07,,,,,2/3/2010 2:58,2/3/2010 3:27,2/3/2010 10:26,,51:23:00,,
2022,Bike,999,"Lipski, Ryan",Lipski,Ryan,,,96,WI USA,,,,1/31 07:00,1/31 11:43,,,,,,,,,,,,Gateway,
2019,Bike,6,"Lockery, Dan",Lockery,Dan,,,74,MB CAN,,,,1/28 07:00,1/28 10:25,1/28 10:25,1/28 14:30,1/28 15:00,,,,,1/28 20:26,1/28 20:31,1/28 23:52,16:52:00,,
2015,Bike,11,"LOCKERY, DAN",Lockery,Dan,,,75,MB Canada,,,,1/26 07:00,1/26 10:31,1/26 10:35,1/26 15:09,1/26 15:30,,,,,1/26 21:37,1/26 21:47,1/27 00:27,17:27:00,,
2016,Bike,5,"Lockery, Dan",Lockery,Dan,,,76,MAN CAN,,,,1/25 07:00,1/25 10:42,1/25 10:43,1/25 15:55,1/25 16:10,,,,,1/25 23:16,1/25 23:23,1/26 02:45,19:45:00,,
2013,Bike,19,DAN LOCKERY,Lockery,Dan,,,26,MANITOBA CANADA,,,,1/28 07:00,1/28 11:23,1/28 11:41,1/28 16:43,1/28 17:26,,,,,1/29 01:27,1/29 02:03,1/29 07:21,24:21:00,,
2017,Bike,7,"Lockery, Dan",Lockery,Dan,,,77,MAN CAN,,,,1/30 07:00,1/30 09:52,1/30 09:52,1/30 13:27,1/30 13:27,,,,,1/30 18:55,1/30 18:55,1/30 22:17,15:17:00,,TRUE
2018,Bike,6,"Lockery, Dan",Lockery,Dan,,,74,MAN CAN,,,,1/29 07:02,1/29 10:20,1/29 10:20,1/29 14:17,1/29 14:23,,,,,1/29 19:32,1/29 19:32,1/29 23:04,16:02:00,1st male unsupported,TRUE
2020,Bike,6,"Lockery, Dan",Lockery,Dan,,,93,MB CAN,,,,1/27 07:00,1/27 10:20,1/27 10:20,1/27 14:51,1/27 14:51,,,,,1/27 21:25,1/27 21:30,1/28 00:47,17:47:00,,TRUE
2012,Bike,13,HAL LOEWEN,Loewen,Hal,,,28,MANITOBA CANADA,,,,1/30 07:00,1/30 10:57,1/30 11:20,1/30 17:13,1/30 18:18,,,,,1/31 00:55,1/31 01:03,1/31 04:40,21:40:00,,
2013,Bike,15,HAL LOEWEN,Loewen,Hal,,,39,MANITOBA CANADA,,,,1/28 07:00,1/28 11:14,1/28 11:33,1/28 16:38,1/28 17:19,,,,,1/29 00:22,1/29 00:53,1/29 05:59,22:59:00,,
2022,Bike,47,"Loewenson, Peter",Loewenson,Peter,,,98,MN USA,,,,1/31 07:00,1/31 11:59,1/31 12:20,1/31 20:00,2/1 06:25,,,,,2/1 16:53,2/1 17:24,2/1 22:08,39:08:00,,
2023,Bike,999,"Loewenson, Peter",Loewenson,Peter,,,87,USA/MN,,,,1/30/2023 7:00,1/30/2023 12:24,1/30/2023 12:56,1/30/2023 18:55,,,,,,,,,,Drop at MelGeorge's,
2011,Run,3,JOHN LOGAR,Logar,John,,,104,,,,,1/31 07:01,1/31 16:15,1/31 17:49,2/1 07:14,2/1 09:00,,,,,2/1 23:46,2/2 01:38,2/2 08:42,49:41:00,Arrowhead Runner Rookie of Year!,
2022,Run,11,"Lohn, Andy",Lohn,Andy,,,99,MN USA,,,,1/31 07:04,1/31 17:00,1/31 17:35,2/1 04:50,2/1 08:15,,,,,2/1 21:06,2/1 21:46,2/2 05:38,46:34:00,,
2023,Foot,4,"Lohn, Andy",Lohn,Andy,,,88,USA/MN,,,,1/30/2023 7:04,1/30/2023 16:17,1/30/2023 16:52,1/31/2023 3:32,1/31/2023 5:46,,,,,1/31/2023 16:53,1/31/2023 17:15,1/31/2023 23:31,,,
2022,Run,20,"Lombardi, Ella",Lombardi,Ella,,,100,NJ USA,,,,1/31 07:04,1/31 17:35,1/31 17:55,2/1 07:01,2/1 07:01,,,,,2/2 00:44,2/2 01:30,2/2 12:17,53:13:00,,TRUE
2023,Foot,999,"Lombardi, Ella",Lombardi,Ella,,,89,USA/NJ,,,,1/30/2023 7:04,,,,,,,,,,,,,,TRUE
2017,Run,15,"Lombardi, Ella",Lombardi,Ella,,,78,NJ USA,,,,1/30 07:04,1/30 16:42,1/30 16:57,1/31 06:03,1/31 06:30,,,,,1/31 22:22,1/31 22:56,2/1 07:57,48:53:00,,
2020,Run,28,"Lombardi, Ella",Lombardi,Ella,,,94,NJ USA,,,,1/27 07:04,1/27 17:00,1/27 17:10,1/28 05:59,1/28 08:01,,,,,1/28 22:55,1/28 23:27,1/29 09:37,50:33:00,,
2018,Run,19,"Lombardi, Ella",Lombardi,Ella,,,75,NJ USA,,,,1/29 07:06,1/29 16:15,1/29 16:35,1/30 03:52,1/30 08:26,,,,,1/31 00:35,1/31 01:26,1/31 11:07,52:01:00,,
2019,Run,999,"Lombardi, Ella",Lombardi,Ella,,,75,NJ USA,,,,1/28 07:04,1/28 16:55,1/28 17:30,1/29 06:30,1/29 08:00,,,,,,,,,,
2018,Run,8,"Long, Douglas",Long,Douglas,,,76,CO USA,,,,1/29 07:06,1/29 14:59,1/29 16:17,1/30 02:06,1/30 05:38,,,,,1/30 17:55,1/30 19:30,1/31 03:48,44:42:00,,
2010,Foot,,,Long,Matt,M,53,18,,,,,2/1/2010 7:03,2/1/2010 16:41,2/1/2010 17:20,,2/2/2010 8:04,,,,2/2/2010 22:06,2/2/2010 23:15,2/3/2010 6:39,,47:36:00,,
2009,Foot,,,Long,Matt,M,52,21,,,,,2/2/2009 7:13,2/2/2009 17:15,2/2/2009 18:02,2/3/2009 6:15,2/3/2009 9:15,,,,,,,2/4/2009 14:00,54:47:00,"20 overall, 5th foot",
2012,Run,3,MATT LONG,Long,Matt,,,110,WI USA,,,,1/30 07:04,1/30 16:25,1/30 16:46,1/31 03:30,1/31 05:04,,,,,1/31 18:45,1/31 18:52,2/1 02:52,43:48:00,,
2015,Run,12,"Long, Matt",Long,Matt,,,76,WI USA,,,,1/26 07:04,1/26 16:23,1/26 16:54,1/27 04:04,1/27 06:10,,,,,1/27 20:09,1/27 20:25,1/28 04:50,45:46:00,,
2020,Run,21,"Long, Matt",Long,Matt,,,95,WI USA,,,,1/27 07:04,1/27 17:10,1/27 17:45,1/28 05:09,1/28 06:58,,,,,1/28 20:19,1/28 21:03,1/29 08:06,49:02:00,,
2014,Run,7,Matt Long,Long,Matt,,,107,WI USA,,,,1/27 07:04,1/27 17:30,1/27 18:30,1/28 06:32,1/28 09:19,,,,,1/28 22:45,1/28 23:20,1/29 08:22,49:18:00,,
2016,Run,8,"Long, Matt",Long,Matt,,,78,WI USA,,,,1/25 07:04,1/25 17:21,1/25 17:46,1/26 06:24,1/26 09:02,,,,,1/27 00:02,1/27 00:15,1/27 09:35,50:31:00,,
2017,Bike,1,"Loosen, Ted",Loosen,Ted,,,79,MN USA,,,,1/30 07:00,1/30 09:41,1/30 09:41,1/30 12:51,1/30 12:54,,,,,1/30 17:26,1/30 17:30,1/30 20:15,13:15:00,New men's record!,
2022,Run,999,"Lopusnik, Radek",Lopusnik,Radek,,,102,MN USA,,,,1/31 07:04,1/31 19:05,,,,,,,,,,,,Gateway,
2015,Bike,999,"Lord, Jeff",Lord,Jeff,,,77,CO USA,,,,1/26 07:00,1/26 11:58,,,,,,,,,,,,dropped at Gateway,
2015,Run,34,"Lovett, Joe",Lovett,Joe,,,78,MN USA,,,,1/26 07:04,1/26 17:54,1/26 19:43,1/27 08:50,1/27 11:30,,,,,1/28 04:17,1/28 06:49,1/28 15:29,56:25:00,,
2017,Run,0,"Lovett, Joe",Lovett,Joe,,,80,MN USA,,,,1/30 07:04,1/30 18:02,1/30 18:53,1/31 08:18,1/31 10:20,,,,,,,,,Drop at Hwy 23,
2018,Run,999,"Lovett, Joe",Lovett,Joe,,,77,MN USA,,,,1/29 07:06,1/29 17:41,1/29 18:26,1/30 06:44,1/30 09:26,,,,,,,,,Drop before Surly,
2018,Run,999,"Lovett, Sara",Lovett,Sara,,,78,MN USA,,,,1/29 07:06,1/29 18:44,1/29 20:00,1/30 10:28,,,,,,,,,,Dropped at Mel George,
2006,Foot,,,LOWE,NICK,M ,26,26,,,,USA,2/6/2006 7:00,,,2/7/2006 11:46,,,,,,,,,,SCR,
2008,Foot,,,Lowell,Sarah,F,45,2,,,,,2/4/2008 7:16,2/4/2008 18:30,2/4/2008 19:10,2/5/2008 10:04,2/5/2008 11:32,,,,,,,2/6/2008 13:55,54:39:00,,
2007,Foot,10,,Lowell,Sarah,F,44,43,,,,USA,2/5/2007 7:35,,,2/6/2007 9:55,2/7/2006 7:46,,,,,,,2/7/2007 14:42,55:07:00,,
2022,Run,999,"Lowenberg-Deboer, Rolf",Lowenberg-Deboer,Rolf,,,103,MN USA,,,,1/31 07:04,1/31 18:00,1/31 18:25,2/1 12:04,,,,,,,,,,,
2017,Bike,59,"Lucas, Sue",Lucas,Sue,,,81,MAN CAN,,,,1/30 07:00,1/30 11:19,1/30 11:46,1/30 17:51,1/30 19:30,,,,,1/31 06:39,1/31 07:31,1/31 13:34,30:34:30,,
2015,Run,8,"Lucas, Sue",Lucas,Sue,,,199,MB Canada,,,,1/26 07:04,1/26 17:06,1/26 17:22,1/27 04:02,1/27 04:18,,,,,1/27 17:47,1/27 18:16,1/28 01:35,42:31:00,1st woman runner.  Sue set new record by 5 1/2 hrs!,
2018,Ski,3,"Lucas, Sue",Lucas,Sue,,,79,MAN CAN,,,,1/29 07:04,1/29 17:13,1/29 18:01,1/30 06:24,1/30 08:56,,,,,1/31 00:15,1/31 02:19,1/31 10:49,51:45:00,One of 1st two woman with a' Trois award,
2014,Run,999,Sue Lucas,Lucas,Sue,,,153,MB Canada,,,,1/27 07:04,1/27 17:22,1/27 20:00,1/28 07:15,,,,,,,,,,Dropped at MelGeorge,
2016,Bike,999,"Lucas, Sue",Lucas,Sue,,,80,MAN CAN,,,,1/25 07:00,1/25 14:43,,,,,,,,,,,,,
2015,Bike,10,"Luebke, Dan",Luebke,Dan,,,81,WI USA,,,,1/26 07:00,1/26 10:38,1/26 10:44,1/26 15:09,1/26 15:30,,,,,1/26 21:12,1/26 21:20,1/27 00:13,17:13:00,,
2017,Bike,15,"Luebke, Dan",Luebke,Dan,,,82,WI USA,,,,1/30 07:00,1/30 10:19,1/30 10:32,1/30 14:36,1/30 14:54,,,,,1/30 20:35,1/30 20:50,1/31 00:27,17:27:00,,
2016,Bike,9,"Luebke, Dan",Luebke,Dan,,,81,WI USA,,,,1/25 07:00,1/25 11:28,1/25 11:51,1/25 17:26,1/25 18:14,,,,,1/26 00:59,1/26 01:18,1/26 05:19,22:19:00,,
2019,Bike,999,"Luebke, Dan",Luebke,Dan,,,76,WI USA,,,,1/28 07:00,1/28 11:10,1/28 11:51,1/28 17:41,,,,,,,,,,,
2022,Bike,999,"Luebke, Dan",Luebke,Dan,,,104,WI USA,,,,1/31 07:00,1/31 11:18,1/31 12:06,1/31 18:35,,,,,,,,,,at MelGeorges,
2020,Run,16,"Lupfer, Timothy",Lupfer,Timothy,,,99,MN USA,,,,1/27 07:04,1/27 16:40,1/27 16:50,1/28 05:00,1/28 05:30,,,,,1/28 20:43,1/28 20:55,1/29 05:11,46:07:00,,
2019,Run,999,"Lupfer, Timothy",Lupfer,Timothy,,,77,MN USA,,,,1/28 07:04,1/28 17:30,1/28 18:15,1/29 08:02,,,,,,,,,,,
2019,Bike,13,"Lynch, David",Lynch,David,,,78,IN USA,,,,1/28 07:00,1/28 10:35,1/28 10:50,1/28 15:35,1/28 16:19,,,,,1/28 20:55,1/28 23:40,1/29 03:03,20:03:00,,
2018,Bike,16,"Lynch, David",Lynch,David,,,81,IN USA,,,,1/29 07:02,1/29 10:46,1/29 11:00,1/29 15:05,1/29 15:56,,,,,1/29 21:44,1/29 22:38,1/30 04:09,21:07:00,,
2015,Run,34,"Mackie, Kevin",Mackie,Kevin,,,82,WI USA,,,,1/26 07:04,1/26 17:33,1/26 18:20,1/27 08:25,1/27 11:35,,,,,1/28 06:19,1/28 06:49,1/28 15:29,56:25:00,,
2016,Run,28,"Mackie, Kevin",Mackie,Kevin,,,82,WI USA,,,,1/25 07:04,1/25 18:27,1/25 19:11,1/26 12:26,1/26 12:56,,,,,1/27 08:49,1/27 09:48,1/27 18:58,59:54:00,,
2014,Run,999,Kevin Mackie,Mackie,Kevin,,,95,WI USA,,,,1/27 07:04,1/27 18:21,1/27 19:27,1/28 09:01,,,,,,,,,,Dropped at MelGeorge,
2012,Bike,999,JAMES MACPHERSON,Macpherson,James,,,30,ND USA,,,,1/30 07:00,1/30 14:23,1/30 15:15,,,,,,,,,,,,
2011,Bike,999,ANDREW MAGNESS,Magness,Andrew,,,6,,,,,1/31 07:00,,,,,,,,,,,,,DQ/dropped at #53 rode with #60 as Guardian. Nice job.,
2008,Foot,,,Magness,Andrew,M,32,41,,,,,,,,,,,,,,,,,,DQ,
2010,Bike,,,Magness,Andy,M,34,87,,,,,2/1/2010 7:03,2/1/2010 23:49,2/1/2010 12:47,2/1/2010 18:30,2/1/2010 19:45,,,,2/2/2010 6:22,2/2/2010 6:37,2/2/2010 9:27,,26:24:00,,
2013,Bike,38,ANDY MAGNESS,Magness,Andy,,,16,ND USA,,,,1/28 07:00,1/28 12:03,1/28 12:14,1/28 18:12,1/28 18:36,,,,,1/29 13:40,1/29 14:12,1/29 18:39,35:39:00,,
2008,Foot,,,Magness,Jason,M,32,42,,,,,,,,,,,,,,,,,,DQ,
2015,Bike,73,"Mahan, John",Mahan,John,,,83,MI USA,,,,1/26 07:00,1/26 14:08,1/26 15:16,1/27 02:14,1/27 07:12,,,,,1/27 22:40,1/27 23:45,1/28 07:44,48:44:00,,
2013,Bike,999,JOHN MAHAN,Mahan,John,,,55,MI USA,,,,1/28 07:00,1/28 15:34,1/28 16:50,,,,,,,,,,,Dropped at MelGeorge,
2008,Bike,,,Mangan,Rick,M,41,28,,,,,2/4/2008 8:12,2/4/2008 20:10,,,,,,,,,,,,Gateway,
2011,Bike,999,RICK MANGEN,Mangen,Rick,,,52,,,,,1/31 07:00,,,,,,,,,,,,,DROPPED,
2017,Bike,55,"Mansfield, Ned",Mansfield,Ned,,,84,NY USA,,,,1/30 07:00,1/30 11:00,1/30 11:11,1/30 16:32,1/30 17:34,,,,,1/31 06:53,1/31 09:31,1/31 13:19,30:19:00,,
2017,Run,26,"Marcelino, Cristiano",Marcelino,Cristiano,,,85,BRA,,,,1/30 07:04,1/30 16:40,1/30 17:55,1/31 06:13,1/31 08:42,,,,,2/1 00:16,2/1 02:34,2/1 12:38,53:34:00,,
2020,Bike,57,"Mark, Scott",Mark,Scott,,,100,MN USA,,,,1/27 07:00,1/27 12:14,1/27 13:00,1/27 21:18,1/28 02:07,,,,,1/28 11:40,1/28 12:16,1/28 17:18,34:18:00,,
2017,Run,28,"Mark, Scott",Mark,Scott,,,86,MN USA,,,,1/30 07:04,1/30 18:05,1/30 19:24,1/31 08:13,1/31 10:01,,,,,2/1 02:12,2/1 03:20,2/1 12:59,53:55:00,,
2020,Run,999,"Marron, Roberto",Marron,Roberto,,,101,MN USA,,,,1/27 07:04,1/27 20:00,,,,,,,,,,,,mile 29,TRUE
2012,Run,21,ROBERTO MARRON,Marron,Roberto,,,118,MN USA,,,,1/30 07:04,1/30 18:59,1/30 20:17,1/31 12:15,1/31 13:37,,,,,2/1 07:57,2/1 08:18,2/1 15:55,56:51:00,,
2014,Run,16,Roberto Marron,Marron,Roberto,,,137,MN USA,,,,1/27 07:04,1/27 19:04,1/27 19:38,1/28 11:22,1/28 12:48,,,,,1/29 10:12,1/29 10:27,1/29 18:47,59:43:00,,
2011,Run,999,ROBERTO MARRON,Marron,Roberto,,,124,,,,,1/31 07:01,1/31 18:19,1/31 19:35,2/1 11:38,2/1 13:35,,,,,,,,,Dropped. Arrived at Crescent @ 09:25hrs 2/2 by snowmobile.,
2013,Run,999,ROBERTO MARRON,Marron,Roberto,,,138,MN USA,,,,1/28 07:04,1/28 18:57,1/28 19:36,,,,,,,,,,,Dropped at MelGeorge,
2017,Bike,0,"Marro'n, Roberto",Marron,Roberto,,,87,MN USA,,,,1/30 07:00,1/30 15:03,1/30 15:03,1/31 10:04,1/31 10:04,,,,,2/1 02:16,,,,Drop at Surly,TRUE
2014,Run,999,Robert Marshall,Marshall,Robert,,,134,MD USA,,,,1/27 07:04,1/27 18:51,,,,,,,,,,,,Dropped at Gateway,
2022,Run,4,"Marti, Nathan",Marti,Nathan,,,107,MN USA,,,,1/31 07:04,1/31 16:20,1/31 16:20,2/1 03:32,2/1 03:32,,,,,2/1 17:53,2/1 17:53,2/2 01:37,42:33:00,,TRUE
2018,Run,5,"Marti, Nathan",Marti,Nathan,,,83,MN USA,,,,1/29 07:06,1/29 16:08,1/29 16:08,1/30 04:12,1/30 04:12,,,,,1/30 18:32,1/30 19:40,1/31 03:09,44:03:00,,TRUE
2019,Run,5,"Marti, Nathan",Marti,Nathan,,,79,MN USA,,,,1/28 07:04,1/28 15:45,1/28 16:15,1/29 03:15,1/29 05:45,,,,,1/29 19:10,1/29 20:10,1/30 03:54,44:50:00,,
2020,Run,14,"Marti, Nathan",Marti,Nathan,,,102,MN USA,,,,1/27 07:04,1/27 16:20,1/27 16:50,1/28 03:47,1/28 06:34,,,,,1/28 19:30,1/28 20:00,1/29 03:59,44:55:00,,
2017,Run,9,"Marti, Nathan",Marti,Nathan,,,88,MN USA,,,,1/30 07:04,1/30 16:01,1/30 16:26,1/31 03:58,1/31 08:15,,,,,1/31 21:30,1/31 21:52,2/1 04:56,45:52:00,,
2023,Foot,7,"Marti, Nathan",Marti,Nathan,,,94,USA/MN,,,,1/30/2023 7:04,1/30/2023 16:14,1/30/2023 16:50,1/31/2023 2:55,1/31/2023 5:06,,,,,1/31/2023 17:12,1/31/2023 17:48,2/1/2023 0:12,,,
2012,Run,13,KEVIN MARTIN,Martin,Kevin,,,101,MN USA,,,,1/30 07:04,1/30 17:10,1/30 18:02,1/31 06:25,1/31 08:51,,,,,2/1 01:55,2/1 02:22,2/1 13:11,54:07:00,,
2013,Run,999,KEVIN MARTIN,Martin,Kevin,,,129,MN USA,,,,1/28 07:04,1/28 18:05,,,,,,,,,,,,Dropped at Gateway - physical,
2009,Foot,,,Martin,Kevin,M,33,29,,,,,2/2/2009 7:09,2/2/2009 16:48,2/2/2009 18:02,2/3/2009 6:45,2/3/2009 10:10,,,,,,,,,DNF,
2017,Bike,12,"Martindale, Jill",Martindale,Jill,,,89,MN USA,,,,1/30 07:00,1/30 09:59,1/30 09:59,1/30 13:56,1/30 14:05,,,,,1/30 19:50,1/30 19:55,1/30 23:40,16:40:00,First female biker and new women's record!,
2016,Bike,16,"Martindale, Jill",Martindale,Jill,,,83,MI USA,,,,1/25 07:00,1/25 11:22,1/25 11:22,1/25 18:16,1/25 18:42,,,,,1/26 04:46,1/26 05:12,1/26 08:53,25:53:00,,
2019,Bike,999,"Martindale, Jill",Martindale,Jill,,,80,MI USA,,,,1/28 07:00,1/28 12:05,1/28 12:05,1/28 18:57,1/28 18:57,,,,,,,,,,TRUE
2023,Bike,18,"Martindale, Jill",Martindale,Jill,,,95,USA/MI,,,,1/30/2023 7:00,1/30/2023 11:55,1/30/2023 11:55,1/30/2023 17:30,1/30/2023 17:30,,,,,1/31/2023 3:24,1/31/2023 4:59,1/31/2023 9:08,,1st female unsupported biker,TRUE
2018,Bike,999,"Martindale, Jill",Martindale,Jill,,,84,MN USA,,,,1/29 07:02,1/29 11:09,1/29 11:09,1/29 17:03,,,,,,,,,,Drop at MelGeorge,
2022,Bike,38,"Mattner, Sean",Mattner,Sean,,,108,MN USA,,,,1/31 07:00,1/31 12:06,1/31 12:45,1/31 20:30,2/1 02:05,,,,,2/1 10:58,2/1 11:53,2/1 16:48,33:48:00,,
2023,Bike,999,"Mattner, Sean",Mattner,Sean,,,96,USA/MN,,,,1/30/2023 7:00,,,,,,,,,,,,,,
2017,Run,2,"Maughan, Grant",Maughan,Grant,,,90,NSW AUS,,,,1/30 07:04,1/30 14:00,1/30 14:00,1/30 23:35,1/30 23:35,,,,,1/31 13:12,1/31 13:13,1/31 20:48,37:44:00,,TRUE
2019,Run,999,"Maughan, Grant",Maughan,Grant,,,81,AUS AUS,,,,1/28 07:04,1/28 16:40,1/28 16:40,,,,,,,,,,,,TRUE
2015,Run,13,"Maughan, Grant",Maughan,Grant,,,85,Austrailia,,,,1/26 07:04,1/26 14:42,1/26 15:09,1/27 01:51,1/27 02:35,,,,,1/27 18:47,1/27 19:25,1/28 05:23,46:19:00,,
2012,Bike,29,MATT MAXWELL,Maxwell,Matt,,,134,IA USA,,,,1/30 07:02,1/30 12:22,1/30 12:22,1/30 19:40,1/30 20:26,,,,,1/31 09:49,1/31 10:08,1/31 14:03,31:01:00,,
2011,Bike,16,MATT MAXWELL,Maxwell,Matt,,,116,,,,,1/31 07:01,1/31 17:21,1/31 18:23,2/1 08:45,2/1 10:38,,,,,2/2 05:03,2/2 07:00,2/2 15:02,56:01:00,Arrowhead a Trois Award,
2013,Ski,999,MATT MAXWELL,Maxwell,Matt,,,145,IA USA,,,,1/28 07:02,1/28 14:30,1/28 15:17,1/28 23:52,1/29 05:27,,,,,,,,,Dropped at MelGeorge,
2006,Bike,7,,MAXWELL,MATTHEW,M ,27,24,,,,USA,2/6/2006 7:00,,,2/6/2006 18:07,2/7/2006 4:07,,,,,,,2/7/2006 17:25,34:25:00,,
2010,Ski,,,Maxwell,Matthew,M,31,27,,,,,2/1/2010 7:03,2/1/2010 17:22,2/1/2010 18:25,2/2/2010 7:10,2/2/2010 9:33,,,,2/3/2010 0:00,2/3/2010 6:47,2/3/2010 13:24,,54:21:00,,
2008,Ski,,,Maxwell,Matthew,M,29,12,,,,,2/4/2008 7:08,2/4/2008 17:45,2/4/2008 19:50,2/5/2008 14:50,,,,,,,,,,DNF-MelGeo - Myrtle Turtle,
