year,category,position,name,lastname,firstname,gender,age,bib,state_province_country,city,country,start_time,gateway_enter_time,gateway_exit_time,gateway_time_duration,melgeorges_enter_time,melgeorges_exit_time,melgeorges_time_duration,myrtle_lake_enter_time,myrtle_lake_exit_time,myrtle_lake_time_duration,crescent_enter_time,crescent_exit_time,crescent__time_duration,ski_pulk_enter_time,ski_pulk_exit_time,ski_pulk_time_duration,finish_time,overall_time_duration,overall_time_duration_computed,comments,unsupported
2018,Bike,41,"Krueger, Ken",Krueger,Ken,,,68,MN USA,,,2018-01-29T07:02:00.0000000,2018-01-29T12:18:00.0000000,2018-01-29T12:59:00.0000000,0:41:00,2018-01-29T19:19:00.0000000,2018-01-30T00:29:00.0000000,5:10:00,,,,,,,2018-01-30T10:40:00.0000000,2018-01-30T11:32:00.0000000,0:52:00,2018-01-30T17:15:00.0000000,34:13:00,34:13:00,15 min penalty for loss of bib # and reflective material,
2011,Bike,29,KEN KRUEGER,Krueger,Ken,,,37,,,,2011-01-31T07:00:00.0000000,2011-01-31T13:30:00.0000000,2011-01-31T13:52:00.0000000,0:22:00,2011-01-31T22:01:00.0000000,2011-02-01T02:24:00.0000000,4:23:00,,,,,,,2011-02-01T13:14:00.0000000,2011-02-01T13:58:00.0000000,0:44:00,2011-02-01T17:50:00.0000000,34:50:00,34:50:00,,
2012,Ski,5,KEN KRUEGER,Krueger,Ken,,,35,MN USA,,,2012-01-30T07:02:00.0000000,2012-01-30T17:11:00.0000000,2012-01-30T17:51:00.0000000,0:40:00,2012-01-31T05:37:00.0000000,2012-01-31T09:05:00.0000000,3:28:00,,,,,,,2012-02-01T01:53:00.0000000,2012-02-01T02:06:00.0000000,0:13:00,2012-02-01T08:56:00.0000000,49:54:00,49:54:00,,
2013,Run,4,KEN KRUEGER,Krueger,Ken,,,128,MN USA,,,2013-01-28T07:04:00.0000000,2013-01-28T15:37:00.0000000,2013-01-28T16:29:00.0000000,0:52:00,2013-01-29T06:13:00.0000000,2013-01-29T13:30:00.0000000,7:17:00,,,,,,,2013-01-30T05:15:00.0000000,2013-01-30T05:45:00.0000000,0:30:00,2013-01-30T14:02:00.0000000,54:58:00,54:58:00,,
2007,Bike,9,,Krueger,Kenneth,"M ",42,41,,,USA,2007-02-05T07:36:00.0000000,,,,2007-02-06T04:55:00.0000000,2006-02-06T22:25:00.0000000,-8742:30:00,,,,,,,,,,2007-02-07T13:30:00.0000000,53:54:00,53:54:00,,
2011,Bike,999,CORY KRULL,Krull,Cory,,,16,,,,,,,,,,,,,,,,,,,,,,,Did Not Start,
2017,Run,0,"Kruse, Timothy",Kruse,Timothy,,,72,IL USA,,,2017-01-30T07:04:00.0000000,2017-01-30T17:15:00.0000000,2017-01-30T18:30:00.0000000,1:15:00,,,,,,,,,,,,,,,,Drop at Sheep Ranch Rd,
2018,Run,999,"Kruse, Timothy",Kruse,Timothy,,,69,IL USA,,,2018-01-29T07:06:00.0000000,2018-01-29T18:32:00.0000000,2018-01-29T20:10:00.0000000,1:38:00,2018-01-30T10:36:00.0000000,,,,,,,,,,,,,,,Dropped at Mel George,
2022,Bike,24,"Kulbaba, Bradley",Kulbaba,Bradley,,,89,MB CAN,,,2022-01-31T07:00:00.0000000,2022-01-31T10:55:00.0000000,2022-01-31T11:05:00.0000000,0:10:00,2022-01-31T16:56:00.0000000,2022-01-31T17:28:00.0000000,0:32:00,,,,,,,2022-02-01T04:46:00.0000000,2022-02-01T05:26:00.0000000,0:40:00,2022-02-01T08:50:00.0000000,25:50:00,25:50:00,,
2023,Bike,29,"Kulbaba, Bradley",Kulbaba,Bradley,,,80,CAN/MB,,,2023-01-30T07:00:00.0000000,2023-01-30T12:24:00.0000000,2023-01-30T12:24:00.0000000,0:00:00,2023-01-30T17:37:00.0000000,2023-01-30T18:37:00.0000000,1:00:00,,,,,,,2023-01-31T11:13:00.0000000,2023-01-31T11:16:00.0000000,0:03:00,2023-01-31T14:44:00.0000000,,31:44:00,,TRUE
2017,Run,13,"Kummer, Scott",Kummer,Scott,,,73,IL USA,,,2017-01-30T07:04:00.0000000,2017-01-30T17:14:00.0000000,2017-01-30T18:30:00.0000000,1:16:00,2017-01-31T07:05:00.0000000,2017-01-31T08:21:00.0000000,1:16:00,,,,,,,2017-01-31T23:03:00.0000000,2017-02-01T00:03:00.0000000,1:00:00,2017-02-01T07:13:00.0000000,48:09:00,48:09:00,,
2016,Run,999,"Kummer, Scott",Kummer,Scott,,,72,IL USA,,,2016-01-25T07:04:00.0000000,2016-01-25T19:54:00.0000000,2016-01-25T20:50:00.0000000,0:56:00,,,,,,,,,,,,,,,,Dropped at SRR,
2018,Run,999,"Kummer, Scott",Kummer,Scott,,,70,IL USA,,,2018-01-29T07:06:00.0000000,2018-01-29T18:31:00.0000000,2018-01-29T20:10:00.0000000,1:39:00,2018-01-30T08:51:00.0000000,,,,,,,,,,,,,,,Dropped at Mel George,
2010,Bike,,,Kurth,John,M,43,38,,,,2010-02-01T07:03:00.0000000,2010-02-01T13:35:00.0000000,2010-02-01T14:40:00.0000000,1:05:00,2010-02-02T05:39:00.0000000,,,,,,,2010-02-02T17:11:00.0000000,,2010-02-02T19:43:00.0000000,2010-02-03T00:32:00.0000000,4:49:00,,41:29:00,,,
2017,Bike,75,"Kurth, John",Kurth,John,,,74,MN USA,,,2017-01-30T07:00:00.0000000,2017-01-30T12:14:00.0000000,2017-01-30T12:14:00.0000000,0:00:00,2017-01-31T11:17:00.0000000,2017-01-31T11:17:00.0000000,0:00:00,,,,,,,2017-02-01T04:41:00.0000000,2017-02-01T04:42:00.0000000,0:01:00,2017-02-01T11:07:00.0000000,52:07:00,52:07:00,,TRUE
2015,Bike,62,"KURTH, JOHN",Kurth,John,,,69,MN USA,,,2015-01-26T07:00:00.0000000,2015-01-26T12:29:00.0000000,2015-01-26T13:17:00.0000000,0:48:00,2015-01-26T20:38:00.0000000,2015-01-27T00:23:00.0000000,3:45:00,,,,,,,2015-01-27T12:55:00.0000000,2015-01-27T13:15:00.0000000,0:20:00,2015-01-27T19:04:00.0000000,36:04:00,36:04:00,,
2012,Bike,41,JOHN KURTH,Kurth,John,,,34,MN USA,,,2012-01-30T07:00:00.0000000,2012-01-30T13:04:00.0000000,2012-01-30T13:40:00.0000000,0:36:00,2012-01-30T21:33:00.0000000,2012-01-30T23:52:00.0000000,2:19:00,,,,,,,2012-01-31T15:35:00.0000000,2012-01-31T16:02:00.0000000,0:27:00,2012-01-31T21:07:00.0000000,38:07:00,38:07:00,,
2011,Bike,37,JOHN KURTH,Kurth,John,,,35,,,,2011-01-31T07:00:00.0000000,2011-01-31T13:50:00.0000000,2011-01-31T14:41:00.0000000,0:51:00,2011-02-01T00:31:00.0000000,2011-02-01T04:31:00.0000000,4:00:00,,,,,,,2011-02-01T16:52:00.0000000,2011-02-01T18:00:00.0000000,1:08:00,2011-02-01T23:15:00.0000000,40:15:00,40:15:00,,
2013,Bike,999,JOHN KURTH,Kurth,John,,,54,MN USA,,,2013-01-28T07:00:00.0000000,2013-01-28T12:37:00.0000000,2013-01-28T13:11:00.0000000,0:34:00,2013-01-28T20:08:00.0000000,2013-01-28T22:05:00.0000000,1:57:00,,,,,,,,,,,,,Dropped in Orr,
2014,Bike,999,JOHN KURTH,Kurth,John,,,86,MN USA,,,2014-01-27T07:00:00.0000000,2014-01-27T12:46:00.0000000,,,,,,,,,,,,,,,,,,Dropped at Gateway,
2009,Bike,,,Kurth,John,M,42,50,,,,2009-02-02T08:11:00.0000000,2009-02-02T16:00:00.0000000,2009-02-02T17:40:00.0000000,1:40:00,2009-02-03T11:45:00.0000000,2009-02-03T14:01:00.0000000,2:16:00,,,,,,,,,,,,,DNF,
2019,Run,9,"Kutz, Brian",Kutz,Brian,,,69,WI USA,,,2019-01-28T07:04:00.0000000,2019-01-28T17:15:00.0000000,2019-01-28T18:15:00.0000000,1:00:00,2019-01-29T06:45:00.0000000,2019-01-29T10:30:00.0000000,3:45:00,,,,,,,2019-01-29T23:26:00.0000000,2019-01-30T00:38:00.0000000,1:12:00,2019-01-30T09:02:00.0000000,49:58:00,49:58:00,,
2020,Run,31,"Kutz, Brian",Kutz,Brian,,,89,MN USA,,,2020-01-27T07:04:00.0000000,2020-01-27T17:20:00.0000000,2020-01-27T18:20:00.0000000,1:00:00,2020-01-28T06:24:00.0000000,2020-01-28T09:38:00.0000000,3:14:00,,,,,,,2020-01-28T23:35:00.0000000,2020-01-29T02:15:00.0000000,2:40:00,2020-01-29T10:49:00.0000000,51:45:00,51:45:00,,
2023,Foot,4,"Kutz, Brian",Kutz,Brian,,,81,USA/MN,,,2023-01-30T07:04:00.0000000,2023-01-30T16:22:00.0000000,2023-01-30T16:59:00.0000000,0:37:00,2023-01-31T02:51:00.0000000,2023-01-31T04:45:00.0000000,1:54:00,,,,,,,2023-01-31T15:42:00.0000000,2023-01-31T16:35:00.0000000,0:53:00,2023-01-31T23:31:00.0000000,,40:27:00,,
2012,Run,5,DAN KUZMA,Kuzma,Dan,,,83,OH USA,,,2012-01-30T07:04:00.0000000,2012-01-30T16:24:00.0000000,2012-01-30T16:35:00.0000000,0:11:00,2012-01-31T04:18:00.0000000,2012-01-31T08:03:00.0000000,3:45:00,,,,,,,2012-01-31T22:23:00.0000000,2012-01-31T22:30:00.0000000,0:07:00,2012-02-01T06:16:00.0000000,47:12:00,47:12:00,,
2011,Run,999,DAN KUZMA,Kuzma,Dan,,,85,,,,2011-01-31T07:01:00.0000000,2011-01-31T16:19:00.0000000,2011-01-31T16:45:00.0000000,0:26:00,,,,,,,,,,,,,,,,Drop,
2017,Bike,2,"Lackey, John",Lackey,John,,,75,WA USA,,,2017-01-30T07:00:00.0000000,2017-01-30T09:41:00.0000000,2017-01-30T09:41:00.0000000,0:00:00,2017-01-30T12:51:00.0000000,2017-01-30T12:56:00.0000000,0:05:00,,,,,,,2017-01-30T17:26:00.0000000,2017-01-30T17:30:00.0000000,0:04:00,2017-01-30T20:15:00.0000000,13:15:01,13:15:00,,
2015,Bike,66,"LAIS, THOMAS",Lais,Thomas,,,70,WI USA,,,2015-01-26T07:00:00.0000000,2015-01-26T12:18:00.0000000,2015-01-26T12:39:00.0000000,0:21:00,2015-01-26T20:49:00.0000000,2015-01-27T02:42:00.0000000,5:53:00,,,,,,,2015-01-27T13:26:00.0000000,2015-01-27T13:40:00.0000000,0:14:00,2015-01-27T21:17:00.0000000,38:17:00,38:17:00,,
2011,Bike,36,THOMAS LAIS,Lais,Thomas,,,56,,,,2011-01-31T07:00:00.0000000,2011-01-31T14:41:00.0000000,2011-01-31T15:53:00.0000000,1:12:00,2011-01-31T23:57:00.0000000,2011-02-01T07:10:00.0000000,7:13:00,,,,,,,2011-02-01T16:20:00.0000000,2011-02-01T17:33:00.0000000,1:13:00,2011-02-01T21:25:00.0000000,38:25:00,38:25:00,,
2012,Bike,42,THOMAS LAIS,Lais,Thomas,,,58,MN USA,,,2012-01-30T07:00:00.0000000,2012-01-30T12:39:00.0000000,2012-01-30T13:30:00.0000000,0:51:00,2012-01-30T22:22:00.0000000,2012-01-31T04:36:00.0000000,6:14:00,,,,,,,2012-01-31T16:11:00.0000000,2012-01-31T16:22:00.0000000,0:11:00,2012-01-31T22:16:00.0000000,39:16:00,39:16:00,,
2013,Bike,999,THOMAS LAIS,Lais,Thomas,,,88,MN USA,,,2013-01-28T07:00:00.0000000,2013-01-28T13:08:00.0000000,2013-01-28T13:58:00.0000000,0:50:00,2013-01-28T22:11:00.0000000,,,,,,,,,,,,,,,Dropped at MelGeorge,
2014,Bike,999,THOMAS LAIS,Lais,Thomas,,,158,WI USA,,,2014-01-27T07:00:00.0000000,2014-01-27T14:40:00.0000000,2014-01-27T16:31:00.0000000,1:51:00,,,,,,,,,,,,,,,,Dropped at Sheep Ranch Rd,
2016,Bike,999,"Lais, Thomas",Lais,Thomas,,,73,WI USA,,,2016-01-25T07:00:00.0000000,2016-01-25T14:05:00.0000000,,,,,,,,,,,,,,,,,,Medical,
2012,Bike,6,FRANCIS LAMBERT,Lambert,Francis,,,25,QUEBEC CANADA,,,2012-01-30T07:00:00.0000000,2012-01-30T10:25:00.0000000,2012-01-30T10:25:00.0000000,0:00:00,2012-01-30T14:56:00.0000000,2012-01-30T15:06:00.0000000,0:10:00,,,,,,,2012-01-30T20:41:00.0000000,2012-01-30T20:50:00.0000000,0:09:00,2012-01-31T00:13:00.0000000,17:13:00,17:13:00,,
2022,Bike,25,"Landgraff, Kenneth",Landgraff,Kenneth,,,92,MB CAN,,,2022-01-31T07:00:00.0000000,2022-01-31T11:22:00.0000000,2022-01-31T11:50:00.0000000,0:28:00,2022-01-31T18:45:00.0000000,2022-01-31T19:46:00.0000000,1:01:00,,,,,,,2022-02-01T05:01:00.0000000,2022-02-01T05:26:00.0000000,0:25:00,2022-02-01T09:27:00.0000000,26:27:00,26:27:00,,
2023,Bike,17,"Landgraff, Kenneth",Landgraff,Kenneth,,,82,CAN/MB,,,2023-01-30T07:00:00.0000000,2023-01-30T12:16:00.0000000,2023-01-30T12:51:00.0000000,0:35:00,2023-01-30T18:55:00.0000000,2023-01-30T19:41:00.0000000,0:46:00,,,,,,,2023-01-31T04:09:00.0000000,2023-01-31T04:35:00.0000000,0:26:00,2023-01-31T09:02:00.0000000,,26:02:00,,
2019,Run,999,"Landstrom, Brian",Landstrom,Brian,,,70,MN USA,,,2019-01-28T07:04:00.0000000,2019-01-28T18:35:00.0000000,2019-01-28T20:25:00.0000000,1:50:00,2019-01-29T06:47:00.0000000,,,,,,,,,,,,,,,,
2020,Run,999,"Landstrom, Brian",Landstrom,Brian,,,90,MN USA,,,2020-01-27T07:04:00.0000000,2020-01-27T17:10:00.0000000,2020-01-27T19:10:00.0000000,2:00:00,2020-01-28T07:42:00.0000000,,,,,,,,,,,,,,,MelGeorges,
2018,Run,999,"Lang, Joe",Lang,Joe,,,71,MN USA,,,2018-01-29T07:06:00.0000000,2018-01-29T17:11:00.0000000,2018-01-29T19:00:00.0000000,1:49:00,2018-01-30T06:07:00.0000000,2018-01-30T11:21:00.0000000,5:14:00,,,,,,,,,,,,,Dropped after MelGeorges,
2011,Bike,18,ERIC LARSEN,Larsen,Eric,,,23,,,,2011-01-31T07:00:00.0000000,2011-01-31T11:48:00.0000000,2011-01-31T12:35:00.0000000,0:47:00,2011-01-31T18:37:00.0000000,2011-01-31T21:55:00.0000000,3:18:00,,,,,,,2011-02-01T06:31:00.0000000,2011-02-01T08:11:00.0000000,1:40:00,2011-02-01T11:36:00.0000000,28:36:00,28:36:00,,
2016,Run,21,"LaSalle, Dominique",Lasalle,Dominique,,,74,MN USA,,,2016-01-25T07:04:00.0000000,2016-01-25T18:27:00.0000000,2016-01-25T18:54:00.0000000,0:27:00,2016-01-26T09:01:00.0000000,2016-01-26T10:40:00.0000000,1:39:00,,,,,,,2016-01-27T05:08:00.0000000,2016-01-27T06:52:00.0000000,1:44:00,2016-01-27T15:58:00.0000000,56:54:00,56:54:00,,
2019,Run,999,"Lasalle, Dominique",Lasalle,Dominique,,,71,CA USA,,,2019-01-28T07:04:00.0000000,2019-01-28T19:00:00.0000000,2019-01-28T19:55:00.0000000,0:55:00,2019-01-29T10:40:00.0000000,2019-01-29T12:58:00.0000000,2:18:00,,,,,,,,,,,,,,
2015,Run,9,"Lawrence, Jake",Lawrence,Jake,,,72,MN USA,,,2015-01-26T07:04:00.0000000,2015-01-26T14:52:00.0000000,2015-01-26T15:17:00.0000000,0:25:00,2015-01-27T01:33:00.0000000,2015-01-27T02:18:00.0000000,0:45:00,,,,,,,2015-01-27T16:38:00.0000000,2015-01-27T17:15:00.0000000,0:37:00,2015-01-28T01:40:00.0000000,42:36:00,42:36:00,,
2009,Bike,,,Ledin,Marlin,M,23,51,,,,2009-02-02T07:11:00.0000000,2009-02-02T13:23:00.0000000,2009-02-02T14:03:00.0000000,0:40:00,2009-02-02T21:23:00.0000000,,,,,,,,,,,,,,,DNF,
2020,Run,46,"Leo, Simone",Leo,Simone,,,91,ITA ITA,,,2020-01-27T07:04:00.0000000,2020-01-27T18:00:00.0000000,2020-01-27T19:40:00.0000000,1:40:00,2020-01-28T09:37:00.0000000,2020-01-28T12:05:00.0000000,2:28:00,,,,,,,2020-01-29T08:05:00.0000000,2020-01-29T08:30:00.0000000,0:25:00,2020-01-29T18:50:00.0000000,59:46:00,59:46:00,,
2022,Run,999,"Lessard, Michael",Lessard,Michael,,,93,MN USA,,,2022-01-31T07:04:00.0000000,2022-01-31T19:50:00.0000000,2022-01-31T21:00:00.0000000,1:10:00,,,,,,,,,,,,,,,,at Sheep Ranch Rd,
2023,Foot,999,"Lessard, Michael",Lessard,Michael,,,84,USA/MN,,,2023-01-30T07:04:00.0000000,2023-01-30T19:28:00.0000000,2023-01-30T20:38:00.0000000,1:10:00,,,,,,,,,,,,,,,,Drop at Sheep Ranch Rd,
2013,Run,7,MIKE LESSARD,Lessard,Mike,,,131,MN USA,,,2013-01-28T07:04:00.0000000,2013-01-28T15:29:00.0000000,2013-01-28T16:12:00.0000000,0:43:00,2013-01-29T06:33:00.0000000,2013-01-29T11:11:00.0000000,4:38:00,,,,,,,2013-01-30T09:37:00.0000000,2013-01-30T09:50:00.0000000,0:13:00,2013-01-30T18:48:00.0000000,59:44:00,59:44:00,,
2011,Ski,999,MIKE LESSARD,Lessard,Mike,,,146,,,,2011-01-31T07:01:00.0000000,2011-01-31T19:51:00.0000000,2011-01-31T20:51:00.0000000,1:00:00,,,,,,,,,,,,,,,,Dropped.  Phoned MelGeorge that he was picked up.,
2012,Run,999,MIKE LESSARD,Lessard,Mike,,,111,MN USA,,,2012-01-30T07:04:00.0000000,2012-01-30T17:43:00.0000000,2012-01-30T19:29:00.0000000,1:46:00,2012-01-31T12:46:00.0000000,2012-01-31T13:53:00.0000000,1:07:00,,,,,,,,,,,,,DNF at Cty 23,
2014,Run,999,MIKE LESSARD,Lessard,Mike,,,114,MN USA,,,2014-01-27T07:04:00.0000000,2014-01-27T20:03:00.0000000,,,,,,,,,,,,,,,,,,Dropped at Gateway,
2019,Run,6,"Leuwerke, Jeff",Leuwerke,Jeff,,,72,MN USA,,,2019-01-28T07:04:00.0000000,2019-01-28T17:40:00.0000000,2019-01-28T17:40:00.0000000,0:00:00,2019-01-29T06:26:00.0000000,2019-01-29T06:26:00.0000000,0:00:00,,,,,,,2019-01-29T22:15:00.0000000,2019-01-29T23:29:00.0000000,1:14:00,2019-01-30T07:38:00.0000000,48:34:00,48:34:00,1st unsupported men's runner,TRUE
2018,Run,15,"Leuwerke, Jeff",Leuwerke,Jeff,,,72,MN USA,,,2018-01-29T07:06:00.0000000,2018-01-29T16:09:00.0000000,2018-01-29T16:24:00.0000000,0:15:00,2018-01-30T05:14:00.0000000,2018-01-30T08:54:00.0000000,3:40:00,,,,,,,2018-01-31T01:45:00.0000000,2018-01-31T02:38:00.0000000,0:53:00,2018-01-31T10:06:00.0000000,51:00:00,51:00:00,,
2015,Run,2,"Lewis, Harvey",Lewis,Harvey,,,73,OH USA,,,2015-01-26T07:04:00.0000000,2015-01-26T14:51:00.0000000,2015-01-26T15:01:00.0000000,0:10:00,2015-01-27T00:11:00.0000000,2015-01-27T00:11:00.0000000,0:00:00,,,,,,,2015-01-27T13:40:00.0000000,2015-01-27T13:55:00.0000000,0:15:00,2015-01-27T21:49:00.0000000,38:45:00,38:45:00,,
2010,Bike,,,Lillie,Leon,M,48,85,,,,2010-02-01T07:03:00.0000000,2010-02-01T14:28:00.0000000,,,,,,,,,,,,,,,,,,Gateway,
2010,Bike,,,Lindner,Chuck,M,38,8,,,,2010-02-01T07:03:00.0000000,2010-02-01T12:20:00.0000000,2010-02-01T13:03:00.0000000,0:43:00,2010-02-01T18:04:00.0000000,2010-02-01T23:00:00.0000000,4:56:00,,,,,2010-02-02T07:43:00.0000000,,2010-02-02T07:54:00.0000000,2010-02-02T10:35:00.0000000,2:41:00,,27:32:00,,,
2008,Bike,,,Lindner,Chuck,M,35,40,,,,2008-02-04T07:17:00.0000000,2008-02-04T13:01:00.0000000,2008-02-04T13:34:00.0000000,0:33:00,2008-02-04T20:30:00.0000000,2008-02-05T03:05:00.0000000,6:35:00,,,,,,,,,,2008-02-05T13:07:00.0000000,29:50:00,29:50:00,,
2009,Bike,,,Lindner,Chuck,M,36,7,,,,2009-02-02T07:28:00.0000000,2009-02-02T12:16:00.0000000,2009-02-02T13:00:00.0000000,0:44:00,2009-02-02T18:56:00.0000000,2009-02-03T03:35:00.0000000,8:39:00,,,,,,,,,,2009-02-03T14:16:00.0000000,30:48:00,30:48:00,"8B, 8th overall",
2020,Bike,8,"Lindner, Chuck",Lindner,Chuck,,,92,MN USA,,,2020-01-27T07:00:00.0000000,2020-01-27T10:30:00.0000000,2020-01-27T10:30:00.0000000,0:00:00,2020-01-27T14:52:00.0000000,2020-01-27T15:28:00.0000000,0:36:00,,,,,,,2020-01-27T21:23:00.0000000,2020-01-27T21:45:00.0000000,0:22:00,2020-01-28T01:07:00.0000000,18:07:00,18:07:00,,
2022,Bike,7,"Lindner, Chuck",Lindner,Chuck,,,95,MN USA,,,2022-01-31T07:00:00.0000000,2022-01-31T10:29:00.0000000,2022-01-31T10:36:00.0000000,0:07:00,2022-01-31T15:21:00.0000000,2022-01-31T16:03:00.0000000,0:42:00,,,,,,,2022-01-31T21:52:00.0000000,2022-01-31T22:18:00.0000000,0:26:00,2022-02-01T01:37:00.0000000,18:37:00,18:37:00,,
2019,Bike,7,"Lindner, Chuck",Lindner,Chuck,,,73,MN USA,,,2019-01-28T07:00:00.0000000,2019-01-28T10:45:00.0000000,2019-01-28T11:15:00.0000000,0:30:00,2019-01-28T15:23:00.0000000,2019-01-28T16:48:00.0000000,1:25:00,,,,,,,2019-01-28T22:04:00.0000000,2019-01-28T23:00:00.0000000,0:56:00,2019-01-29T02:08:00.0000000,19:08:00,19:08:00,,
2018,Bike,13,"Lindner, Chuck",Lindner,Chuck,,,73,MN USA,,,2018-01-29T07:02:00.0000000,2018-01-29T10:33:00.0000000,2018-01-29T10:33:00.0000000,0:00:00,2018-01-29T14:50:00.0000000,2018-01-29T15:45:00.0000000,0:55:00,,,,,,,2018-01-29T21:09:00.0000000,2018-01-29T21:55:00.0000000,0:46:00,2018-01-30T02:37:00.0000000,19:35:00,19:35:00,,
2015,Bike,29,"Lindner, Chuck",Lindner,Chuck,,,74,MN USA,,,2015-01-26T07:00:00.0000000,2015-01-26T10:43:00.0000000,2015-01-26T11:01:00.0000000,0:18:00,2015-01-26T15:35:00.0000000,2015-01-26T16:45:00.0000000,1:10:00,,,,,,,2015-01-27T00:13:00.0000000,2015-01-27T02:03:00.0000000,1:50:00,2015-01-27T05:43:00.0000000,22:43:00,22:43:00,,
2012,Bike,18,CHUCK LINDNER,Lindner,Chuck,,,14,MN USA,,,2012-01-30T07:00:00.0000000,2012-01-30T11:02:00.0000000,2012-01-30T11:41:00.0000000,0:39:00,2012-01-30T17:25:00.0000000,2012-01-30T19:50:00.0000000,2:25:00,,,,,,,2012-01-31T03:09:00.0000000,2012-01-31T03:40:00.0000000,0:31:00,2012-01-31T06:49:00.0000000,23:49:00,23:49:00,,
2016,Bike,20,"Lindner, Chuck",Lindner,Chuck,,,75,MN USA,,,2016-01-25T07:00:00.0000000,2016-01-25T11:24:00.0000000,2016-01-25T11:42:00.0000000,0:18:00,2016-01-25T18:42:00.0000000,2016-01-25T20:55:00.0000000,2:13:00,,,,,,,2016-01-26T05:58:00.0000000,2016-01-26T07:01:00.0000000,1:03:00,2016-01-26T10:55:00.0000000,27:55:00,27:55:00,,
2017,Bike,28,"Lindner, Chuck",Lindner,Chuck,,,76,MN USA,,,2017-01-30T07:00:00.0000000,2017-01-30T10:22:00.0000000,2017-01-30T10:22:00.0000000,0:00:00,2017-01-30T16:07:00.0000000,2017-01-30T16:07:00.0000000,0:00:00,,,,,,,2017-01-30T22:44:00.0000000,2017-01-30T23:04:00.0000000,0:20:00,2017-01-31T03:53:00.0000000,20:53:00,20:53:00,,TRUE
2011,Bike,25,CHUCK LINDNER,Lindner,Chuck,,,15,,,,2011-01-31T07:00:00.0000000,2011-01-31T12:16:00.0000000,2011-01-31T13:21:00.0000000,1:05:00,2011-01-31T19:58:00.0000000,,,,,,,,,2011-02-01T13:13:00.0000000,2011-02-01T13:53:00.0000000,0:40:00,2011-02-01T16:32:00.0000000,33:32:00,33:32:00,,
2013,Bike,36,CHUCK LINDNER,Lindner,Chuck,,,22,MN USA,,,2013-01-28T07:00:00.0000000,2013-01-28T11:27:00.0000000,2013-01-28T11:55:00.0000000,0:28:00,2013-01-28T17:17:00.0000000,2013-01-28T18:54:00.0000000,1:37:00,,,,,,,2013-01-29T13:58:00.0000000,2013-01-29T14:48:00.0000000,0:50:00,2013-01-29T18:32:00.0000000,35:32:00,35:32:00,,
2014,Bike,999,CHUCK LINDNER,Lindner,Chuck,,,32,MN USA,,,2014-01-27T07:00:00.0000000,2014-01-27T12:26:00.0000000,,,,,,,,,,,,,,,,,,Dropped at Gateway,
2023,Bike,11,"Lindner, Chuck",Lindner,Chuck,,,85,USA/MN,,,2023-01-30T07:00:00.0000000,2023-01-30T11:24:00.0000000,2023-01-30T11:50:00.0000000,0:26:00,2023-01-30T16:09:00.0000000,2023-01-30T17:25:00.0000000,1:16:00,,,,,,,2023-01-30T23:50:00.0000000,2023-01-31T00:55:00.0000000,1:05:00,2023-01-31T04:14:00.0000000,,21:14:00,,
2010,Foot,,,Link,Steve,M,21,86,,,,2010-02-01T07:03:00.0000000,2010-02-01T16:43:00.0000000,2010-02-01T18:03:00.0000000,1:20:00,2010-02-02T06:07:00.0000000,,,,,,,2010-02-03T02:58:00.0000000,,2010-02-03T03:27:00.0000000,2010-02-03T10:26:00.0000000,6:59:00,,51:23:00,,,
2022,Bike,999,"Lipski, Ryan",Lipski,Ryan,,,96,WI USA,,,2022-01-31T07:00:00.0000000,2022-01-31T11:43:00.0000000,,,,,,,,,,,,,,,,,,Gateway,
2019,Bike,6,"Lockery, Dan",Lockery,Dan,,,74,MB CAN,,,2019-01-28T07:00:00.0000000,2019-01-28T10:25:00.0000000,2019-01-28T10:25:00.0000000,0:00:00,2019-01-28T14:30:00.0000000,2019-01-28T15:00:00.0000000,0:30:00,,,,,,,2019-01-28T20:26:00.0000000,2019-01-28T20:31:00.0000000,0:05:00,2019-01-28T23:52:00.0000000,16:52:00,16:52:00,,
2015,Bike,11,"LOCKERY, DAN",Lockery,Dan,,,75,MB Canada,,,2015-01-26T07:00:00.0000000,2015-01-26T10:31:00.0000000,2015-01-26T10:35:00.0000000,0:04:00,2015-01-26T15:09:00.0000000,2015-01-26T15:30:00.0000000,0:21:00,,,,,,,2015-01-26T21:37:00.0000000,2015-01-26T21:47:00.0000000,0:10:00,2015-01-27T00:27:00.0000000,17:27:00,17:27:00,,
2016,Bike,5,"Lockery, Dan",Lockery,Dan,,,76,MAN CAN,,,2016-01-25T07:00:00.0000000,2016-01-25T10:42:00.0000000,2016-01-25T10:43:00.0000000,0:01:00,2016-01-25T15:55:00.0000000,2016-01-25T16:10:00.0000000,0:15:00,,,,,,,2016-01-25T23:16:00.0000000,2016-01-25T23:23:00.0000000,0:07:00,2016-01-26T02:45:00.0000000,19:45:00,19:45:00,,
2013,Bike,19,DAN LOCKERY,Lockery,Dan,,,26,MANITOBA CANADA,,,2013-01-28T07:00:00.0000000,2013-01-28T11:23:00.0000000,2013-01-28T11:41:00.0000000,0:18:00,2013-01-28T16:43:00.0000000,2013-01-28T17:26:00.0000000,0:43:00,,,,,,,2013-01-29T01:27:00.0000000,2013-01-29T02:03:00.0000000,0:36:00,2013-01-29T07:21:00.0000000,24:21:00,24:21:00,,
